交易日期,市场风险溢价因子(流通市值加权),市场风险溢价因子(总市值加权),市值因子(流通市值加权),市值因子(总市值加权),帐面市值比因子(流通市值加权),帐面市值比因子(总市值加权),盈利能力因子(流通市值加权),盈利能力因子(总市值加权),投资模式因子(流通市值加权),投资模式因子(总市值加权)
2020-06-18,0.002337,0.001821,-0.006058,-0.005766,0.000403,-6e-06,0.005221,0.004115,0.000614,0.000398
2020-06-19,0.00977,0.010557,-0.005901,-0.005377,-0.005203,-0.004108,0.003675,0.004336,-0.0046,-0.004162
2020-06-22,0.000424,0.000754,0.002115,0.002221,-0.003519,-0.003425,-0.002597,-0.002609,0.001243,0.002326
2020-06-23,0.002697,0.002837,-0.003583,-0.002566,-0.007458,-0.00663,0.005482,0.007096,-0.0042,-0.004594
2020-06-24,0.003121,0.003,-0.00634,-0.006063,0.001581,0.001154,0.007092,0.007204,-0.004227,-0.003861
2020-06-29,-0.005386,-0.005152,0.001208,0.001111,-0.000815,-0.001896,0.001361,0.001885,-0.003872,-0.003445
2020-06-30,0.012989,0.013688,0.004228,0.00481,-0.00693,-0.006151,0.002458,0.003155,-0.004172,-0.003045
2020-07-01,0.013209,0.011703,-0.007364,-0.006991,0.002958,0.003215,0.00829,0.005974,-0.004484,-0.003031
2020-07-02,0.018916,0.018454,-0.005629,-0.006142,0.010249,0.011074,-0.004999,-0.007047,-0.001388,0.000364
2020-07-03,0.01846,0.018415,-0.005842,-0.005969,0.008329,0.008409,-0.003581,-0.005131,-0.000235,0.000185
2020-07-06,0.053194,0.051757,-0.014974,-0.014471,0.021301,0.020806,-0.005987,-0.008841,-0.003049,-0.000752
2020-07-07,0.007753,0.008555,-0.000724,0.000379,-0.017647,-0.016774,0.006751,0.009599,-0.004226,-0.004414
2020-07-08,0.017126,0.017922,0.00325,0.002562,-0.005656,-0.004902,-0.009008,-0.010831,0.003142,0.004589
2020-07-09,0.016732,0.018208,0.007405,0.006673,-0.013824,-0.013509,-0.001127,-0.001144,0.000107,-0.000373
2020-07-10,-0.013941,-0.012712,0.004707,0.004954,-0.012132,-0.012698,-0.00031,0.000227,-0.000279,-0.002099
2020-07-13,0.023365,0.024163,0.007113,0.005756,-0.010458,-0.012071,-0.00288,-0.003228,0.002192,0.002593
2020-07-14,-0.009125,-0.008448,0.006272,0.005061,0.000159,0.000721,-0.006855,-0.007464,0.006337,0.007305
2020-07-15,-0.016203,-0.016608,-0.006916,-0.005966,-0.004213,-0.003228,0.016249,0.019804,-0.006953,-0.009443
2020-07-16,-0.044558,-0.046018,0.0028,0.00133,0.023664,0.020637,-0.007653,-0.010809,0.008118,0.008915
2020-07-17,0.003525,0.003495,-0.002721,-0.003642,-0.007725,-0.009374,0.009475,0.010298,-0.006346,-0.006879
2020-07-20,0.030306,0.029814,0.004867,0.003912,0.00783,0.008423,-0.009462,-0.012206,0.002303,0.003604
2020-07-21,0.003319,0.003574,-0.000367,0.000465,-0.009006,-0.007975,0.003997,0.005013,-0.00048,-0.002095
2020-07-22,0.005084,0.005481,-0.002001,-0.001074,-0.007057,-0.006148,0.002592,0.002734,-0.00248,-0.003479
2020-07-23,-0.001584,-0.001541,-0.001717,-0.00188,-0.006991,-0.007563,0.002293,0.001821,0.000217,0.000664
2020-07-24,-0.041285,-0.042328,0.004257,0.003655,0.013214,0.012057,-0.00749,-0.009745,0.006117,0.00731
2020-07-27,0.002695,0.00242,-0.003218,-0.003977,-0.006211,-0.006956,0.001906,0.000693,0.002201,0.001941
2020-07-28,0.008841,0.009388,0.002729,0.003577,-0.006757,-0.005488,0.002899,0.003905,-0.002899,-0.003257
2020-07-29,0.022642,0.023549,-0.000323,0.000577,-0.007885,-0.008165,0.001223,0.003024,-0.003127,-0.0048
2020-07-30,-0.003658,-0.003475,0.00499,0.005459,0.003734,0.004305,-0.00044,-0.000661,-0.000482,-0.000803
2020-07-31,0.008498,0.009317,0.005481,0.005835,-0.006408,-0.005911,0.001875,0.00254,0.000279,-0.000412
2020-08-03,0.019519,0.020211,0.009434,0.008314,-0.004734,-0.00466,-0.008884,-0.010975,0.003087,0.004119
2020-08-04,0.000588,-0.00049,-0.004111,-0.003698,0.007669,0.00818,0.004229,0.003217,-0.00264,-0.002996
2020-08-05,0.003035,0.003632,0.006155,0.005905,-0.011267,-0.010709,-0.005982,-0.004993,0.007417,0.00682
